name;datetime;temp;sunrise;sunset;conditions;description;icon
Seoul;2019-07-11;22;2019-07-11T05:19:33;2019-07-11T19:55:03;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain
Seoul;2019-07-12;23.8;2019-07-12T05:20:11;2019-07-12T19:54:40;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day
Seoul;2019-07-13;25.1;2019-07-13T05:20:50;2019-07-13T19:54:15;Rain, Partially cloudy;Partly cloudy throughout the day with morning rain.;rain
Seoul;2019-07-14;26;2019-07-14T05:21:30;2019-07-14T19:53:48;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day
Seoul;2019-07-15;24.3;2019-07-15T05:22:11;2019-07-15T19:53:19;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain
Seoul;2019-07-16;24.9;2019-07-16T05:22:53;2019-07-16T19:52:49;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain
Seoul;2019-07-17;26;2019-07-17T05:23:35;2019-07-17T19:52:17;Rain, Partially cloudy;Partly cloudy throughout the day with afternoon rain.;rain
Seoul;2019-07-18;27.6;2019-07-18T05:24:19;2019-07-18T19:51:43;Rain, Partially cloudy;Partly cloudy throughout the day with late afternoon rain.;rain
Seoul;2019-07-19;28.3;2019-07-19T05:25:02;2019-07-19T19:51:08;Partially cloudy;Becoming cloudy in the afternoon.;partly-cloudy-day
Seoul;2019-07-20;28.8;2019-07-20T05:25:47;2019-07-20T19:50:30;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.;rain
Seoul;2019-07-21;25.7;2019-07-21T05:26:32;2019-07-21T19:49:51;Rain, Overcast;Cloudy skies throughout the day with a chance of rain throughout the day.;rain
Seoul;2019-07-22;27.4;2019-07-22T05:27:18;2019-07-22T19:49:11;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain
Seoul;2019-07-23;28.3;2019-07-23T05:28:04;2019-07-23T19:48:28;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day
Seoul;2019-07-24;26.8;2019-07-24T05:28:51;2019-07-24T19:47:44;Rain, Overcast;Cloudy skies throughout the day with rain in the morning and afternoon.;rain
Seoul;2019-07-25;26.7;2019-07-25T05:29:38;2019-07-25T19:46:59;Rain, Overcast;Cloudy skies throughout the day with rain.;rain
Seoul;2019-07-26;25.7;2019-07-26T05:30:26;2019-07-26T19:46:12;Rain, Overcast;Cloudy skies throughout the day with a chance of rain throughout the day.;rain
Seoul;2019-07-27;28.4;2019-07-27T05:31:14;2019-07-27T19:45:23;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain
Seoul;2019-07-28;26.9;2019-07-28T05:32:02;2019-07-28T19:44:33;Rain, Overcast;Cloudy skies throughout the day with a chance of rain throughout the day.;rain
Seoul;2019-07-29;28.1;2019-07-29T05:32:51;2019-07-29T19:43:41;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain
Seoul;2019-07-30;28.8;2019-07-30T05:33:40;2019-07-30T19:42:47;Rain, Overcast;Cloudy skies throughout the day with rain in the morning and afternoon.;rain
Seoul;2019-07-31;26.5;2019-07-31T05:34:29;2019-07-31T19:41:52;Rain, Overcast;Cloudy skies throughout the day with a chance of rain throughout the day.;rain
Seoul;2019-08-01;26.9;2019-08-01T05:35:19;2019-08-01T19:40:56;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain
Seoul;2019-08-02;29.1;2019-08-02T05:36:09;2019-08-02T19:39:58;Rain, Partially cloudy;Partly cloudy throughout the day with late afternoon rain.;rain
Seoul;2019-08-03;29.3;2019-08-03T05:36:59;2019-08-03T19:38:59;Rain, Partially cloudy;Becoming cloudy in the afternoon with rain.;rain
Seoul;2019-08-04;28.7;2019-08-04T05:37:49;2019-08-04T19:37:59;Partially cloudy;Becoming cloudy in the afternoon.;partly-cloudy-day
Seoul;2019-08-05;30.7;2019-08-05T05:38:40;2019-08-05T19:36:57;Rain, Partially cloudy;Becoming cloudy in the afternoon with late afternoon rain.;rain
Seoul;2019-08-06;31.9;2019-08-06T05:39:30;2019-08-06T19:35:53;Partially cloudy;Clearing in the afternoon.;partly-cloudy-day
Seoul;2019-08-07;27.3;2019-08-07T05:40:21;2019-08-07T19:34:49;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain
Seoul;2019-08-08;29.1;2019-08-08T05:41:12;2019-08-08T19:33:43;Rain, Partially cloudy;Partly cloudy throughout the day with late afternoon rain.;rain
Seoul;2019-08-09;29.9;2019-08-09T05:42:03;2019-08-09T19:32:36;Rain, Partially cloudy;Partly cloudy throughout the day with morning rain.;rain
Seoul;2019-08-10;31.2;2019-08-10T05:42:54;2019-08-10T19:31:28;Partially cloudy;Becoming cloudy in the afternoon.;partly-cloudy-day
