,date,daytime,weekday,holiday,h_type,weather,temp,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies
0,2019-07-11,2,3,0,0,2,22.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,2019-07-12,1,4,0,0,1,23.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2019-07-13,1,5,0,0,2,25.1,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,2019-07-13,2,5,0,0,2,25.1,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,2019-07-14,1,6,0,0,1,26.0,14.0,0.0,1.0,3.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
5,2019-07-14,2,6,0,0,1,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,2019-07-15,1,0,0,0,2,24.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-07-15,2,0,0,0,2,24.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2019-07-17,1,2,0,0,2,26.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2019-07-17,2,2,0,0,2,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,2019-07-19,1,4,0,0,1,28.3,8.0,0.0,0.0,0.0,19.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
11,2019-07-19,2,4,0,0,1,28.3,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2019-07-20,1,5,0,0,2,28.8,13.0,0.0,1.0,2.0,5.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0
13,2019-07-21,1,6,0,0,2,25.7,10.0,4.0,1.0,3.0,7.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0
14,2019-07-21,2,6,0,0,2,25.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2019-07-22,1,0,0,0,2,27.4,13.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
16,2019-07-22,2,0,0,0,2,27.4,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,2019-07-24,1,2,0,0,2,26.8,10.0,5.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
18,2019-07-24,2,2,0,0,2,26.8,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19,2019-07-25,1,3,0,0,2,26.7,14.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0
20,2019-07-25,2,3,0,0,2,26.7,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
21,2019-07-26,1,4,0,0,2,25.7,27.0,10.0,1.0,1.0,15.0,0.0,4.0,0.0,8.0,7.0,0.0,0.0,1.0,1.0,8.0,0.0,2.0,7.0,6.0,0.0,1.0,0.0,0.0
22,2019-07-27,1,5,0,0,2,28.4,10.0,7.0,1.0,1.0,6.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0
23,2019-07-28,1,6,0,0,2,26.9,8.0,3.0,1.0,1.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
